date,hicp,d_l_M1,d_l_PKB_adj,price_exp_covid,covid_loans
2000Q3,2.03333333333333,0.00331159027017858,0.00598924280738267,0,0
2000Q4,2.1,0.00290515538915148,0.0133871355610662,0,0
2001Q1,2,0.0385421601573075,-0.00246549033648513,0,0
2001Q2,2.7,0.0190236574505809,-0.00240521000898575,0,0
2001Q3,2.53333333333333,0.0146896780381649,0.000660096350395989,0,0
2001Q4,2,0.0187298985368045,0.00460343550250464,0,0
2002Q1,1.76666666666667,0.0134087737157875,0.0102670721410316,0,0
2002Q2,1.6,0.0200949000038317,0.00434213001513761,0,0
2002Q3,1.7,0.0232031641124149,0.00322971818774143,0,0
2002Q4,1.66666666666667,0.0292166475834739,-0.00456696384501498,0,0
2003Q1,1.73333333333333,0.0265464931198736,0.00755087338352389,0,0
2003Q2,1.1,0.0271041591678625,0.000909839001385748,0,0
2003Q3,1.1,0.0217378755595643,0.00300866520088761,0,0
2003Q4,1.23333333333333,0.0243548824616493,0.0015149617721022,0,0
2004Q1,1.43333333333333,0.0231897672442543,0.0103124816804154,0,0
2004Q2,2,0.0193396406504514,0.00813718314923051,0,0
2004Q3,2.03333333333333,0.020757643032149,0.0106792550832626,0,0
2004Q4,2.36666666666667,0.0213581644947638,0.00260576149976188,0,0
2005Q1,2.36666666666667,0.0286642747122121,-0.00116207617082864,0,0
2005Q2,2.06666666666667,0.0410304433027555,0.0130596810772605,0,0
2005Q3,2.16666666666667,0.0656839905037589,0.00624761059303225,0,0
2005Q4,1.76666666666667,0.021247940040098,0.00888064523917897,0,0
2006Q1,1.43333333333333,0.0214884461874387,0.0113639167787198,0,0
2006Q2,2.03333333333333,0.0221274460974961,0.00287533635567527,0,0
2006Q3,1.8,0.00679226328876581,0.0123161733611674,0,0
2006Q4,1.43333333333333,0.017933135972612,0.00957661811416344,0,0
2007Q1,1.76666666666667,0.0233854579720099,0.00973235339706591,0,0
2007Q2,1.86666666666667,0.0133577969186334,0.0107411720131765,0,0
2007Q3,1.93333333333333,0.0133212951711581,0.0036256687503009,0,0
2007Q4,3.2,0.00515079357584369,0.00888519014243272,0,0
2008Q1,3.23333333333333,0.00296358134080421,0.00707364600422089,0,0
2008Q2,3.73333333333333,-0.000181721421560255,0.00835369687958298,0,0
2008Q3,3.7,-0.0016803232945275,-0.00722901798210707,0,0
2008Q4,2.26666666666667,0.0343218972752837,-0.0222973493562488,0,0
2009Q1,1.03333333333333,0.0355380502472062,-0.0174900668990841,0,0
2009Q2,0.3,0.0228485927372102,-0.00861710588009501,0,0
2009Q3,0.2,0.0315138568543283,0.00499370421900558,0,0
2009Q4,0.6,0.0268088674519174,0.00534273227907711,0,0
2010Q1,1.3,0.0205310574475277,-0.00470862732999322,0,0
2010Q2,1.76666666666667,0.0189006266544602,0.0130566308439999,0,0
2010Q3,1.66666666666667,0.00671998986762112,0.0103133690220663,0,0
2010Q4,2,0.00196957532944531,0.0109805414016151,0,0
2011Q1,3,0.00607620471929238,0.00791799076767497,0,0
2011Q2,3.7,-0.000974803527148183,0.00331220383026754,0,0
2011Q3,3.8,0.00844492625983229,0.00620378851476389,0,0
2011Q4,3.66666666666667,0.00728256005418615,-0.000550716587490285,0,0
2012Q1,2.7,0.00877584429062495,0.0085984295005801,0,0
2012Q2,2.23333333333333,0.00833026253906866,-0.00444700425851963,0,0
2012Q3,2.4,0.025662774156924,-0.00263412141610431,0,0
2012Q4,2.9,0.0177391026847964,-0.000648565303679405,0,0
2013Q1,2.6,0.0100211946560478,-0.000474930997746981,0,0
2013Q2,2.23333333333333,0.017563420791749,0.00033233277228284,0,0
2013Q3,1.96666666666667,0.0148593023187598,0.00368959461540541,0,0
2013Q4,1.66666666666667,0.014672657634156,0.00455615882713545,0,0
2014Q1,1.5,0.0106737073836314,-0.00234353147723532,0,0
2014Q2,1.6,0.0122791222158085,0.00620437934852447,0,0
2014Q3,1.53333333333333,0.0208998898354213,7.88965750846415e-005,0,0
2014Q4,1.23333333333333,0.0326120287655236,0.000920938746626021,0,0
2015Q1,0.633333333333333,0.0462410473780288,0.00215258699263465,0,0
2015Q2,0.966666666666667,0.0283325543271129,0.00224886441595729,0,0
2015Q3,0.9,0.0247958524277596,0.00667325572284838,0,0
2015Q4,0.766666666666667,0.022989989830382,0.00179686570466586,0,0
2016Q1,1.03333333333333,0.0220518645149266,0.00779941766279535,0,0
2016Q2,0.6,0.017661468944798,0.00151544195172093,0,0
2016Q3,0.766666666666667,0.0183121965751898,0.00530794387927536,0,0
2016Q4,1.5,0.0214304733394748,0.0106215312296509,0,0
2017Q1,2.2,0.0212742438992741,0.0026533882103994,0,0
2017Q2,2.13333333333333,0.0221859606833785,0.00607445988439004,0,0
2017Q3,2.2,0.0187123080191292,0.00681312785508403,0,0
2017Q4,2.36666666666667,0.0176511730044062,0.00660933732800828,0,0
2018Q1,1.93333333333333,0.016056748231966,0.00661201787061572,0,0
2018Q2,2.13333333333333,0.0188303131329164,0.00230247147199592,0,0
2018Q3,2.23333333333333,0.0147579227836605,0.00421379955995072,0,0
2018Q4,2.13333333333333,0.0169528079350183,0.012951712536756,0,0
2019Q1,1.6,0.0173223521821146,0.00560048842565841,0,0
2019Q2,1.66666666666667,0.0220329171324281,-0.00542749859289771,0,0
2019Q3,1.36666666666667,0.0214894094440012,0.00393067023987115,0,0
2019Q4,1.33333333333333,0.0188585247030151,-0.00573045302051511,0,0
2020Q1,2,0.0229870566033927,-0.0251664176046109,0,0
2020Q2,1.06666666666667,0.0543862567524727,-0.11962076455813,0,0
2020Q3,1.46666666666667,0.0230449824005508,0.106892704881144,0,0
2020Q4,1.06666666666667,0.029277040906619,-0.0221032283507885,0,0
2021Q1,1.5,0.0298780495530444,-0.0134006605793964,5.26666666666667,5.58
2021Q2,2.56666666666667,0.0229118689412893,0.0391331411418392,18.4333333333333,5.536667
2021Q3,3.1,0.0262042234252569,0.0419943736953723,24.1,5.74
2021Q4,3.9,0.0196789267940183,-0.00286183528709394,31.2,5.643333
2022Q1,5.53333333333333,0.020816957586046,0.00641646205734858,39.8333333333333,5.796667
2022Q2,7.83333333333333,0.0138276963244497,0.0183923103741783,51.3666666666667,5.913333
2022Q3,9.9,0.00908586604406203,-0.00164966054788529,52.1,6.38
2022Q4,11.1,-0.0248629801276241,-0.00109457379170586,55.9666666666667,7.03
2023Q1,10.6,-0.0272008965130688,0.00091222800700308,46.1333333333333,8.06
2023Q2,8.63333333333333,-0.0284856322470652,-0.0111533758838682,33.0333333333333,8.346667
2023Q3,6.76666666666667,-0.0232423502586094,-0.00520363987313921,27.5,8.856667
